k,REC, PR, SR
1, 0.018003815148914342, 0.13795013850415513, 0.13795013850415513
2, 0.03117470621975229, 0.11745152354570637, 0.21994459833795013
3, 0.04656063750253021, 0.1176361957525399, 0.303601108033241
4, 0.06252041917071996, 0.11883656509695291, 0.3922437673130194
5, 0.0811649409506455, 0.12343490304709036, 0.47867036011080333
6, 0.09594144939579861, 0.12151431209602868, 0.5379501385041551
7, 0.11171567018419111, 0.1212504946576955, 0.6049861495844875
8, 0.12479444269338129, 0.1185595567867036, 0.6476454293628808
9, 0.13531421907147592, 0.11455832563866018, 0.6775623268698061
10, 0.14687247138245338, 0.11196675900276828, 0.710803324099723
11, 0.1602432311244047, 0.11080332409972486, 0.7351800554016621
12, 0.17733583910303216, 0.1124653739612193, 0.7623268698060942
13, 0.20063059374820244, 0.11723844023013004, 0.7911357340720222
14, 0.22045451351427636, 0.1193905817174523, 0.8149584487534626
15, 0.2382534810964401, 0.12040627885503111, 0.8365650969529086
16, 0.25798992057248726, 0.12198753462603878, 0.8526315789473684
17, 0.27630076727081115, 0.12289392211178375, 0.8642659279778393
18, 0.2904228685657122, 0.12206832871652742, 0.8742382271468144
19, 0.3047387520862478, 0.12159206881469826, 0.8836565096952909
10, 0.31969795948833846, 0.12108033240997255, 0.8914127423822714







































