{\bf Repository} , {\bf Real topics} , { \bf Featured topics} , {\bf Recommended topics}
\href{https://github.com/a1studmuffin/SpaceshipGenerator}{a1studmuffin/SpaceshipGenerator} ,  pythonblender-scripts spaceship procedural-generation game-development 3d  , python 3d , shell terminal \textbf{3d}	opengl	\textbf{python}  
\href{https://github.com/0xAX/go-algorithms}{0xAX/go-algorithms} , golang algorithm	data-structures	go	sort tree-structure , algorithm data-structures go , 	\textbf{data-structures} 	\textbf{algorithm} twitter library \textbf{ go}  
\href{https://github.com/ajenti/ajenti}{ajenti/ajenti} , ajenti python  javascript administration linux panel angular , python javascript linux angular , firefox webpack	\textbf{linux} \textbf{angular} \textbf{python}  
\href{https://github.com/fishercoder1534/Leetcode}{fishercoder1534/Leetcode} , leetcode algorithm java interview mysql bash apache data-structures	leetcode-solutions leetcode-questions leetcode-java leetcoder , algorithm java mysql bash data-structures , \textbf{algorithm}	\textbf{mysql}	\textbf{ bash}	\textbf{data-structures}	\textbf{ java}  
\href{https://github.com/cryogen-project/cryogen}{cryogen-project/cryogen} , clojure cryogen static-site-generator , clojure , jekyll 	\textbf{clojure} atom gulp html  	
\href{https://github.com/alizahid/slinky}{alizahid/slinky} , jquery navigation mobile es6 javascript menu plugin yarn babel webpack css sass , jquery mobile javascript es6 css sass babel webpack , 	\textbf{es6} \textbf{jquery}	\textbf{css} \textbf{sass} 	\textbf{javascript}  
\href{https://github.com/esell/deb-simple}{esell/deb-simple} , maintainer-wanted golang	go debian ubuntu , go ubuntu , \textbf{ubuntu} ansible	linux shell 	\textbf{go}  
\href{https://github.com/JamesRamm/longclaw}{JamesRamm/longclaw} , python django e-commerce shop python3 python-2 wagtail wagtail-cms , python django wagtail , 	\textbf{wagtail} \textbf{django} serverless express 	\textbf{python} 
\href{https://github.com/nitin42/terminal-in-react}{nitin42/terminal-in-react} , terminal react	design javascript svg webpack webapp css , terminal react javascript webpack css , 	\textbf{webpack} eslint react-native \textbf{react}  \textbf{javascript}  
\href{https://github.com/kerl/kerl}{kerl/kerl} ,  erlang otp-release kerl homebrew shell , erlang homebrew shell ,  elixir \textbf{homebrew} bash  deployment 	\textbf{shell}   	
